@relation FoodDataSetFinal4-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last

@attribute difficulty {1,2,3,4,5}
@attribute employee {Mateusz,Ania,Filip,Ewa,Igor}
@attribute exhaust_level {1,2,3,4,5}
@attribute products_quality {1,2,3,4,5}
@attribute hurry_level {1,2,3,4,5}
@attribute good_quality {t,f}

@data
3,Mateusz,4,2,4,t
2,Ania,1,1,4,f
1,Filip,5,4,2,f
2,Mateusz,3,2,4,t
2,Mateusz,4,4,3,f
4,Ewa,3,3,2,t
3,Ania,4,4,4,t
4,Mateusz,2,5,4,t
3,Filip,2,2,2,f
4,Igor,1,4,2,t
1,Mateusz,4,3,4,f
2,Ania,4,2,2,t
3,Mateusz,2,2,2,t
4,Filip,3,2,3,f
3,Ewa,4,4,1,t
5,Mateusz,5,4,5,t
3,Filip,4,3,4,t
5,Ania,1,3,4,f
2,Igor,4,4,5,f
2,Igor,3,4,4,t
3,Mateusz,4,4,5,f
3,Igor,2,3,1,t
5,Filip,2,3,5,f
1,Ewa,4,5,4,t
1,Ania,1,3,4,t
2,Mateusz,2,3,3,t
5,Igor,3,3,2,f
5,Filip,3,4,4,f
5,Igor,3,5,2,f
5,Ewa,3,3,2,t
3,Mateusz,2,4,5,t
5,Ania,2,4,5,t
2,Filip,4,2,1,f
4,Igor,1,5,4,f
4,Mateusz,2,5,1,t
3,Ewa,4,5,4,t
2,Filip,2,3,2,f
4,Igor,3,3,4,t
2,Ania,4,4,4,t
1,Mateusz,3,2,4,f
3,Igor,2,1,4,t
2,Filip,4,5,2,t
5,Igor,4,2,2,f
4,Mateusz,3,3,1,f
2,Ania,2,5,4,t
3,Igor,2,3,4,t
3,Ewa,2,3,4,t
2,Filip,3,4,2,f
4,Mateusz,5,3,1,t
5,Igor,2,4,5,f
5,Ania,4,4,3,f
3,Igor,2,3,2,t
3,Filip,5,3,3,t
4,Mateusz,5,4,1,f
3,Igor,2,4,4,f
3,Ania,2,2,5,t
2,Igor,3,3,5,f
2,Mateusz,3,3,3,t
1,Filip,3,2,3,t
5,Ewa,4,3,4,t
